id,model_id,name,normalized_name,variable_name,unit,category,source,source_ref_id,dependency_type,source_model_id,source_output_id,year_summary_method,prediction_base_json
prem_ventas_demanda,model_ventas,Demanda retail exportada,demanda retail exportada,demanda_exportada,ton,Operacion,local,,none,,,sum,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_ventas_ticket_promedio,model_ventas,Ticket promedio retail,ticket promedio retail,ticket_promedio,Q/ton,Ingreso,local,,none,,,avg,"{""method"": ""growth_rate_pct"", ""params"": {""rate"": 2.1}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_ventas_promocion,model_ventas,Intensidad promocional,intensidad promocional,intensidad_promocional,indice,Comercial,local,,none,,,avg,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_ventas_ingreso_neto,model_ventas,Ingreso neto retail,ingreso neto retail,ingreso_neto_retail,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""demanda_exportada * ticket_promedio * (1 - intensidad_promocional / 100)""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_combustible_gasolina,model_combustible,Gasolina regular,gasolina regular,gasolina,Q/gal,Costo,library,lib_gasolina,none,,,avg,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_combustible_diesel,model_combustible,Diesel flotilla,diesel flotilla,diesel,Q/gal,Costo,library,lib_diesel,none,,,avg,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_combustible_flete,model_combustible,Indice de flete regional,indice de flete regional,indice_flete,indice,Costo,local,,none,,,avg,"{""method"": ""moving_average"", ""params"": {""window"": 3}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_combustible_costo_ruta,model_combustible,Costo ruta norte,costo ruta norte,costo_ruta_norte,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""gasolina * 180 + diesel * 240 + indice_flete * 95""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_macro_tipo_cambio,model_macro,Tipo de cambio USD/GTQ,tipo de cambio usd gtq,tipo_cambio,Q/USD,Macro,library,lib_tipo_cambio,none,,,avg,"{""method"": ""moving_average"", ""params"": {""window"": 4}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_macro_resina_usd,model_macro,Resina importada USD,resina importada usd,resina_usd,USD/ton,Macro,library,lib_resina_usd,none,,,avg,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_macro_inflacion_bienes,model_macro,Inflacion bienes importados,inflacion bienes importados,inflacion_importados,%,Macro,local,,none,,,avg,"{""method"": ""moving_average"", ""params"": {""window"": 5}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_macro_costo_importado,model_macro,Costo importado puesto en planta,costo importado puesto en planta,costo_importado,Q/ton,Resultado,local,,none,,,avg,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""tipo_cambio * resina_usd * (1 + inflacion_importados / 100)""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_demanda,model_arima,Demanda operativa,demanda operativa,demanda_operativa,ton,Operacion,local,,none,,,sum,"{""method"": ""arima_like"", ""params"": {""lookback_periods"": 24}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_precio_unitario,model_arima,Precio unitario,precio unitario,precio_unitario,Q/ton,Ingreso,local,,none,,,avg,"{""method"": ""growth_rate_pct"", ""params"": {""rate"": 2.4}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_costo_fijo,model_arima,Costo fijo,costo fijo,costo_fijo,Q,Costo,local,,none,,,sum,"{""method"": ""carry_forward"", ""params"": {}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_ocupacion_bodega,model_arima,Ocupacion bodega,ocupacion bodega,ocupacion_bodega,%,Operacion,local,,none,,,avg,"{""method"": ""moving_average"", ""params"": {""window"": 3}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_ingreso_bruto,model_arima,Ingreso bruto,ingreso bruto,ingreso_bruto,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""demanda_operativa * precio_unitario""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_costo_variable,model_arima,Costo variable,costo variable,costo_variable,Q,Costo,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""demanda_operativa * 88 + costo_fijo""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_resultado_operacion,model_arima,Resultado operacion,resultado operacion,resultado_operacion,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""ingreso_bruto - costo_variable""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_arima_ebitda,model_arima,EBITDA,ebitda,ebitda,Q,Resultado,local,,none,,,sum,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""resultado_operacion - ocupacion_bodega * 180""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_agro_cafe_volumen,model_agro,Volumen cafe exportado,volumen cafe exportado,cafe_exportado,qq,Operacion,local,,none,,,sum,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
prem_agro_lluvia,model_agro,Lluvia acumulada,lluvia acumulada,lluvia_acumulada,mm,Clima,local,,none,,,avg,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2025-12"", ""forecast_end_period_key"": ""2026-12""}"
prem_agro_precio_cafe,model_agro,Precio internacional cafe,precio internacional cafe,precio_cafe,Q/qq,Ingreso,local,,none,,,avg,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
